"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045088","regulation of innate immune response","63/431","486/28905",0.12962962962963,8.69360659963908,21.0444259330473,4.87374849927486e-40,1.89052704286872e-36,1.14610043656632e-36,"Hpx/Acod1/Arg1/Gbp2b/Gbp2/Serping1/Cd14/Ltf/Clec4e/Fpr2/Plscr1/Zbp1/Tlr4/Smpdl3b/Gbp7/App/Clec4n/Casp4/Irf7/Ifih1/Cfh/Gbp3/Dhx58/Oasl1/Irgm1/Ffar2/Lbp/Cd300lf/Slc15a3/Ifi204/Irgm2/Lamp2/Oas3/Xcl1/S100a9/Trem3/Trim30a/Trim30d/Tlr2/Ccr1/Casp1/Ifi207/Grn/Cd274/Samhd1/Slamf8/Parp14/Ceacam1/Adam8/Ddx60/Trafd1/Ly96/Fgr/N4bp1/S100a8/Irf1/Lgals9/Eif2ak2/Mefv/Serpinb9/Tirap/Tlr13/Nfe2l2",63
"GO:0042742","defense response to bacterium","56/431","430/28905",0.130232558139535,8.73404197917229,19.8793534508913,1.02879600445638e-35,1.99534985064316e-32,1.20964751260819e-32,"Fga/Lcn2/Wfdc17/Wfdc21/Fgb/Gbp2b/Gbp2/Iigp1/Ltf/Hamp/Clec4e/Fpr2/Anxa3/Hp/Fcgr1/Tlr4/Oas2/Pglyrp1/Gbp7/App/F2/Cebpb/Casp4/Trf/Gbp3/Irgm1/C5ar1/Trem1/Gbp6/Lbp/Hck/Plac8/Slpi/Irgm2/Arg2/Oas3/Trem3/Tlr2/Slc11a1/Gzmb/Casp1/Grn/Rnf213/Camp/Il18/Slamf8/Pld1/Rnase4/Fgr/Emilin2/Lgals9/Serpinb9/Bcl3/Wfdc18/Emilin1/Tirap",56
"GO:0002833","positive regulation of response to biotic stimulus","55/431","431/28905",0.127610208816705,8.55817421310178,19.450226440163,1.30197880866635e-34,1.6834585996056e-31,1.02056865212654e-31,"Hpx/Acod1/Arg1/Gbp2b/Gbp2/Cd14/Ltf/Clec4e/Fpr2/Plscr1/Zbp1/Tlr4/Smpdl3b/Gbp7/App/Clec4n/Casp4/Irf7/Ifih1/Gbp3/Dhx58/Oasl1/Irgm1/Ffar2/Cxcl1/Lbp/Cd300lf/Slc15a3/Ifi204/Irgm2/Lamp2/Oas3/Xcl1/S100a9/Trem3/Trim30a/Trim30d/Tlr2/Casp1/Ifi207/Grn/Cd274/Hrg/Adam8/Ddx60/Ly96/S100a8/Emilin2/Irf1/Lgals9/Eif2ak2/Mefv/Emilin1/Tirap/Tlr13",55
"GO:0045089","positive regulation of innate immune response","49/431","404/28905",0.121287128712871,8.13411706599894,17.7661872052616,7.48725440549999e-30,7.26076495973361e-27,4.40171745839131e-27,"Hpx/Acod1/Gbp2b/Gbp2/Cd14/Ltf/Clec4e/Fpr2/Plscr1/Zbp1/Tlr4/Smpdl3b/Gbp7/App/Clec4n/Casp4/Irf7/Ifih1/Gbp3/Dhx58/Oasl1/Irgm1/Ffar2/Lbp/Cd300lf/Slc15a3/Ifi204/Irgm2/Lamp2/Oas3/Xcl1/S100a9/Trem3/Trim30a/Trim30d/Tlr2/Casp1/Ifi207/Cd274/Adam8/Ddx60/Ly96/S100a8/Irf1/Lgals9/Eif2ak2/Mefv/Tirap/Tlr13",49
"GO:0002218","activation of innate immune response","42/431","303/28905",0.138613861386139,9.29613378971308,17.8604431081753,4.72407587586331e-28,3.66493806449476e-25,2.22180747509024e-25,"Acod1/Gbp2b/Gbp2/Cd14/Ltf/Clec4e/Zbp1/Tlr4/Smpdl3b/Gbp7/App/Clec4n/Casp4/Irf7/Ifih1/Gbp3/Dhx58/Oasl1/Irgm1/Ffar2/Lbp/Cd300lf/Slc15a3/Ifi204/Irgm2/Lamp2/Oas3/S100a9/Trim30a/Trim30d/Tlr2/Casp1/Ifi207/Cd274/Ddx60/Ly96/S100a8/Irf1/Eif2ak2/Mefv/Tirap/Tlr13",42
"GO:0035456","response to interferon-beta","25/431","72/28905",0.347222222222222,23.2864462490333,23.2946142737535,8.70420626836891e-28,5.6272693525005e-25,3.41143803570809e-25,"Acod1/Ifitm1/Ifitm6/Gbp2b/Gbp2/Iigp1/Ifi202b/Ifit3/Ifit1/Iigp1c/Gbp7/Xaf1/Gbp3/Irgm1/Gbp6/Ifi204/Ifitm2/Ifitm3/Irgm2/Stat1/Ifi207/Bst2/Ifi47/Irf1/Ifnar2",25
"GO:0009615","response to virus","44/431","377/28905",0.116710875331565,7.827210792248,16.4161644199583,3.50143612436712e-26,1.94029581806001e-23,1.17627192508814e-23,"Lcn2/Acod1/Ifitm1/Ifitm6/Gbp2b/Oasl2/Cxcl10/Plscr1/Ifi44l/Ifit3/Rtp4/Ifit1/Zbp1/Oas2/Cxcl9/Gbp7/Irf7/Ifih1/Dhx58/Oasl1/Irgm1/Mx1/Mlkl/Ifi204/Ifitm2/Ifitm3/Irgm2/Oas3/Trim30a/Dtx3l/Trim30d/Stat1/Ifit2/Casp1/Ifi207/Bst2/Samhd1/Ddx60/Irf1/Lgals9/Eif2ak2/Bcl3/Tlr13/Ifnar2",44
"GO:0051346","negative regulation of hydrolase activity","41/431","329/28905",0.124620060790274,8.35764003977461,16.5131199755606,1.43360006711764e-25,6.95116832543667e-23,4.21402967097476e-23,"Serpina1c/Serpina3k/Serpina1b/Ngp/Pzp/Apcs/Itih3/Itih4/Apoa1/Stfa3/Vtn/Serping1/Ltf/Serpinc1/Ambp/Fabp1/Apoa2/Apoc3/Kng1/Serpina3m/Serpina3n/Apoc1/Serpina3g/App/Mmp9/Ahsg/Hspa1b/Stfa2l1/Ifi204/Slpi/Fetub/Itih2/Ifi207/Grn/Hrg/Timp1/Cstb/Plaur/Reck/Serpinb9/Wfdc18",41
"GO:0006959","humoral immune response","41/431","339/28905",0.12094395280236,8.11110198550397,16.2033722489675,4.63720976710186e-25,1.9986374096209e-22,1.21164054031644e-22,"Fga/Hpx/Acod1/Wfdc17/Wfdc21/Fgb/Cfb/C3/Cxcl10/Serping1/Ltf/Hamp/Kng1/Cxcl2/C4b/Pglyrp1/Cxcl9/App/C1qb/F2/Cfp/Cd5l/Cfi/Crp/Trf/Cfh/C8a/Cxcl1/C1qa/C4bp/Slpi/C1qc/Hc/S100a9/C1ra/Camp/Lgals3/Hrg/Rnase4/Bcl3/Wfdc18",41
"GO:0019221","cytokine-mediated signaling pathway","47/431","471/28905",0.0997876857749469,6.69225767360752,15.3239030007022,6.29436666148699e-25,2.4415848279908e-22,1.48017001281705e-22,"Hpx/Arg1/Ifitm1/Ifitm6/Mmp8/Apoa1/Iigp1/Oasl2/Cxcl10/Il1r2/Cxcl2/Zbp1/Oas2/Cxcl9/Casp4/Il13ra1/Irf7/Ifih1/Csf2rb2/Il36g/Il1rn/Oasl1/Irgm1/Csf2rb/Cxcl1/Cd300lf/Ifitm2/Ifitm3/Irgm2/Oas3/Xcl1/Pirb/Stat1/Ccr1/Casp1/Socs1/Samhd1/Il18/Parp14/Ghr/Ceacam1/Cxcr2/Il15ra/Il1rap/Ccrl2/Irf1/Ifnar2",47
"GO:0097529","myeloid leukocyte migration","36/431","255/28905",0.141176470588235,9.46799508666576,16.710203676557,1.83252060197961e-24,6.46213401370811e-22,3.91756078930379e-22,"Spp1/Cd177/Cxcl10/Fpr2/Aif1/Anxa1/Cxcl2/Cmklr1/Ednrb/Cxcl9/App/Mmp9/C5ar1/Trem1/Cxcl1/Lbp/Itgam/Xcl1/Mtus1/Hc/S100a9/Trem3/Prtn3/Tlr2/Ccr1/Lgals3/Slamf8/Fcgr3/Adam8/Cxcr2/Bst1/S100a8/Mmp14/Pla2g7/Emilin1/Tirap",36
"GO:0002757","immune response-activating signaling pathway","47/431","486/28905",0.0967078189300412,6.48570651084186,15.0051270314838,2.4284348322907e-24,7.69851275122616e-22,4.66709474396256e-22,"Acod1/C3/Gbp2/Cd14/Ltf/Clec4e/Fpr2/Fpr1/Plscr1/Tlr4/Smpdl3b/Cmklr1/App/Clec4n/Casp4/Irf7/Ifih1/Dhx58/Oasl1/Irgm1/C5ar1/Ffar2/Lbp/Cd300lf/Slc15a3/Ifi204/Itgam/Irgm2/Lamp2/Oas3/S100a9/Trim30a/Tlr2/Casp1/Ifi207/Cd274/Lgals3/Ddx60/Ly96/S100a8/Pram1/Irf1/Eif2ak2/Fosl2/Mefv/Tirap/Tlr13",47
