"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045088","regulation of innate immune response","64/475","486/28905",0.131687242798354,8.01351526965562,20.1551871314492,1.79548389040427e-38,7.73135363208079e-35,4.77031719934777e-35,"Ltf/Cd14/Acod1/Fpr2/Plscr1/Gbp2/Gbp2b/Clec4e/Tlr4/App/Clec4n/Cd300lf/Zbp1/Smpdl3b/Slc15a3/Ccr1/Adam8/Casp4/Tlr2/S100a9/Ifih1/N4bp1/Ffar2/Trem3/Lamp2/Gbp3/Irgm1/Gbp7/Cd274/Ncf1/Lbp/Dhx58/Flot1/Ceacam1/Irgm2/Tlr13/Irak3/Grn/Spi1/Fgr/Tirap/Samhd1/S100a8/Trafd1/Trim30d/Casp1/Mefv/Il18rap/Myd88/Pik3r6/Trim30a/Ifi207/Rbm47/Ifi204/Oasl1/Cyba/Parp14/Irf1/Irf7/Stat2/Nlrx1/Ddx60/Tifab/Parp9",64
"GO:0002833","positive regulation of response to biotic stimulus","57/475","431/28905",0.132250580046404,8.04779582366589,19.0548290976449,2.14148864763996e-34,4.61062505836883e-31,2.84479860349645e-31,"Ltf/Cd14/Acod1/Fpr2/Plscr1/Gbp2/Gbp2b/Clec4e/Tlr4/App/Clec4n/Cd300lf/Zbp1/Smpdl3b/Slc15a3/Adam8/Casp4/Tlr2/S100a9/Ifih1/Ffar2/Trem3/Lamp2/Gbp3/Irgm1/Gbp7/Cd274/Lbp/Emilin2/Dhx58/Cxcl1/Flot1/Irgm2/Tlr13/Irak3/Grn/Spi1/Tirap/S100a8/Trim30d/Casp1/Mefv/Il18rap/Myd88/Trim30a/Ifi207/Rbm47/Ifi204/Oasl1/Emilin1/Cyba/Irf1/Irf7/Nlrx1/Ddx60/Tifab/Parp9",57
"GO:0045089","positive regulation of innate immune response","53/475","404/28905",0.131188118811881,7.98314226159458,18.270434360464,7.70395914319959e-32,1.10577493568725e-28,6.82273434295992e-29,"Ltf/Cd14/Acod1/Fpr2/Plscr1/Gbp2/Gbp2b/Clec4e/Tlr4/App/Clec4n/Cd300lf/Zbp1/Smpdl3b/Slc15a3/Adam8/Casp4/Tlr2/S100a9/Ifih1/Ffar2/Trem3/Lamp2/Gbp3/Irgm1/Gbp7/Cd274/Lbp/Dhx58/Flot1/Irgm2/Tlr13/Irak3/Spi1/Tirap/S100a8/Trim30d/Casp1/Mefv/Il18rap/Myd88/Trim30a/Ifi207/Rbm47/Ifi204/Oasl1/Cyba/Irf1/Irf7/Nlrx1/Ddx60/Tifab/Parp9",53
"GO:0019221","cytokine-mediated signaling pathway","56/475","471/28905",0.118895966029724,7.23513241702984,17.6349610343225,2.44911329389899e-31,2.63647046088226e-28,1.62672682994764e-28,"Il1r2/Mmp8/Ifitm6/Cxcl2/Ifitm1/Cxcl3/Oasl2/Cxcl10/Il1rn/Cd300lf/Csf2rb/Csf2rb2/Zbp1/Ifitm2/Oas2/Il36g/Il1rap/Ccr1/Pirb/Casp4/Il13ra1/Iigp1/Ifih1/Ccrl2/Cxcr2/Irgm1/Socs1/Cxcl1/Lifr/Ceacam1/Irgm2/Ebi3/Cxcl9/Irak3/Ifitm3/Il15ra/Ifng/Spi1/Csf2ra/Naip2/Samhd1/Fcer1g/Gab1/Casp1/Il18rap/Myd88/Rbm47/Oasl1/Gpr35/Parp14/Irf1/Lims1/Irf7/Stat2/Plcb1/Parp9",56
"GO:0097529","myeloid leukocyte migration","43/475","255/28905",0.168627450980392,10.2614241486068,19.2009581262003,1.40124826395038e-30,1.20675500491407e-27,7.44579077518055e-28,"Cd177/Cxcl2/Spp1/Fpr2/Cxcl3/Anxa1/Cxcl10/App/Mmp9/Aif1/C5ar1/Trem1/Itgam/Cmklr1/Ccr1/Adam8/Ccn3/Tlr2/S100a9/Lgals3/Trem3/Prtn3/Mmp14/Pla2g7/Cxcr2/Fcgr3/Thbs1/Lbp/Itgb2l/Cxcl1/Cxcl9/Ifng/Mtus1/Spi1/Tirap/Fcer1g/S100a8/Myd88/Bst1/Dusp1/Emilin1/Gpr35/Plcb1",43
"GO:0042742","defense response to bacterium","52/475","430/28905",0.12093023255814,7.35892288861689,17.1720944772745,1.67828345806739e-29,1.04391324690268e-26,6.44104196147938e-27,"Lcn2/Ltf/Wfdc21/Wfdc17/Fpr2/Rnase2a/Camp/Anxa3/Gbp2/Gbp2b/Clec4e/Tlr4/Hp/Pglyrp1/App/Cebpb/Fcgr1/C5ar1/Trem1/Oas2/Slc11a1/Casp4/Iigp1/Hck/Tlr2/Arg2/Trem3/Slpi/Gbp3/Irgm1/Gbp7/Ncf1/Lbp/Plac8/Emilin2/Irgm2/Ifng/Grn/Pld1/Fgr/Tirap/Gzmb/Naip2/Bcl3/Fcer1g/Casp1/Myd88/Gbp6/Emilin1/Rab1a/Cyba/Wfdc18",52
"GO:0002218","activation of innate immune response","45/475","303/28905",0.148514851485149,9.03751954142783,18.1795238491301,1.69702571489057e-29,1.04391324690268e-26,6.44104196147938e-27,"Ltf/Cd14/Acod1/Gbp2/Gbp2b/Clec4e/Tlr4/App/Clec4n/Cd300lf/Zbp1/Smpdl3b/Slc15a3/Casp4/Tlr2/S100a9/Ifih1/Ffar2/Lamp2/Gbp3/Irgm1/Gbp7/Cd274/Lbp/Dhx58/Flot1/Irgm2/Tlr13/Irak3/Tirap/S100a8/Trim30d/Casp1/Mefv/Myd88/Trim30a/Ifi207/Ifi204/Oasl1/Cyba/Irf1/Irf7/Nlrx1/Ddx60/Tifab",45
"GO:0002757","immune response-activating signaling pathway","54/475","486/28905",0.111111111111111,6.76140350877193,16.5569135297239,9.37816682367091e-29,5.04779829284087e-26,3.11453856091387e-26,"Ltf/Cd14/Acod1/Fpr2/Plscr1/Fpr1/Gbp2/Clec4e/Tlr4/C3/App/Clec4n/Cd300lf/C5ar1/Smpdl3b/Itgam/Slc15a3/Cmklr1/Casp4/Tlr2/S100a9/Lgals3/Pram1/Ifih1/Ffar2/Lamp2/Irgm1/Cd274/Lbp/Dhx58/Flot1/Irgm2/Tlr13/Irak3/Ifng/Fosl2/Tirap/Fcer1g/S100a8/Casp1/Mefv/Bmx/Myd88/Cd38/Trim30a/Ifi207/Ifi204/Oasl1/Cyba/Irf1/Irf7/Nlrx1/Ddx60/Tifab",54
"GO:0002764","immune response-regulating signaling pathway","54/475","497/28905",0.108651911468813,6.61175473896008,16.3114998310733,2.8689938319405e-28,1.37265416003731e-25,8.469404013822e-26,"Ltf/Cd14/Acod1/Fpr2/Plscr1/Fpr1/Gbp2/Clec4e/Tlr4/C3/App/Clec4n/Cd300lf/C5ar1/Smpdl3b/Itgam/Slc15a3/Cmklr1/Casp4/Tlr2/S100a9/Lgals3/Pram1/Ifih1/Ffar2/Lamp2/Irgm1/Cd274/Lbp/Dhx58/Flot1/Irgm2/Tlr13/Irak3/Ifng/Fosl2/Tirap/Fcer1g/S100a8/Casp1/Mefv/Bmx/Myd88/Cd38/Trim30a/Ifi207/Ifi204/Oasl1/Cyba/Irf1/Irf7/Nlrx1/Ddx60/Tifab",54
"GO:0050900","leukocyte migration","48/475","402/28905",0.119402985074627,7.26598586017282,16.3528894158664,4.86982161188692e-27,2.09694518607851e-24,1.29383471035817e-24,"Cd177/Cxcl2/Spp1/Fpr2/Cxcl3/Anxa1/Cxcl10/App/Mmp9/Aif1/C5ar1/Trem1/Itgam/Cmklr1/Ccr1/Adam8/Ccn3/Tlr2/S100a9/Lgals3/Ffar2/Trem3/Prtn3/Mmp14/Pla2g7/Cxcr2/Fcgr3/Thbs1/Lbp/Itgb2l/Cxcl1/Cxcl9/Ifng/Mtus1/Spi1/Tirap/Selp/Icam1/Fcer1g/St3gal4/S100a8/Myd88/Bst1/Adtrp/Dusp1/Emilin1/Gpr35/Plcb1",48
