"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0097529","myeloid leukocyte migration","31/275","255/28905",0.12156862745098,12.7779679144385,18.5145342363607,4.29793804616849e-25,1.37319120575083e-21,9.60928464217038e-22,"Cd177/Cxcl2/Fpr2/Spp1/Anxa1/Mmp9/Aif1/C5ar1/Trem1/App/S100a9/Cxcr2/Trem3/Ccr1/Cmklr1/Mtus1/Itgam/Itgb2l/Adam8/Tlr2/S100a8/Mmp14/Lgals3/Bst1/Ccn3/Prtn3/Thbs1/Fcgr3/Slamf8/Tirap/Pla2g7",31
"GO:0045088","regulation of innate immune response","39/275","486/28905",0.0802469135802469,8.43468013468013,16.1998380990593,1.45670244642095e-24,2.32708215815746e-21,1.62843999799899e-21,"Ltf/Acod1/Fpr2/Cd14/Clec4e/Plscr1/Clec4n/Cd300lf/Gbp2b/Tlr4/App/S100a9/Trem3/Gbp2/Zbp1/Ccr1/Slc15a3/Irf7/Ffar2/Ifih1/Oas3/Adam8/N4bp1/Tifab/Tlr2/S100a8/Ceacam1/Casp4/Dhx58/Ncf1/Fgr/Lamp2/Smpdl3b/Flot1/Irak3/Slamf8/Ifi207/Tirap/Mefv",39
"GO:0060326","cell chemotaxis","32/275","334/28905",0.0958083832335329,10.0703320631464,16.3406130831523,1.24288759447131e-22,1.21534044633408e-19,8.50468036574774e-20,"Saa3/Cxcl2/Fpr2/Spp1/Anxa1/Mmp9/Aif1/C5ar1/Ccr5/Trem1/App/S100a9/Cxcr2/Trem3/Ccr1/Cmklr1/Mtus1/Ffar2/Itgam/Itgb2l/Adam8/S100a8/Gab1/Lgals3/Bst1/Ccn3/Thbs1/Fcgr3/Slamf8/Ccrl2/Tirap/Pla2g7",32
"GO:0002757","immune response-activating signaling pathway","37/275","486/28905",0.0761316872427984,8.00213243546577,15.2573358568032,1.52155298445581e-22,1.21534044633408e-19,8.50468036574774e-20,"Ltf/Acod1/Fpr2/Fpr1/Cd14/Clec4e/Plscr1/Clec4n/Cd300lf/Tlr4/C5ar1/App/S100a9/Gbp2/Slc15a3/Cmklr1/Irf7/Ffar2/Pram1/Itgam/Ifih1/Oas3/Tifab/Tlr2/S100a8/Fosl2/Casp4/Lgals3/Dhx58/Lamp2/Smpdl3b/Flot1/Bmx/Irak3/Ifi207/Tirap/Mefv",37
"GO:0002764","immune response-regulating signaling pathway","37/275","497/28905",0.0744466800804829,7.82502286445948,15.0416896070643,3.28701984473909e-22,1.96147384340505e-19,1.37259548419152e-19,"Ltf/Acod1/Fpr2/Fpr1/Cd14/Clec4e/Plscr1/Clec4n/Cd300lf/Tlr4/C5ar1/App/S100a9/Gbp2/Slc15a3/Cmklr1/Irf7/Ffar2/Pram1/Itgam/Ifih1/Oas3/Tifab/Tlr2/S100a8/Fosl2/Casp4/Lgals3/Dhx58/Lamp2/Smpdl3b/Flot1/Bmx/Irak3/Ifi207/Tirap/Mefv",37
"GO:0030595","leukocyte chemotaxis","28/275","242/28905",0.115702479338843,12.1613824192337,17.0883250641731,3.68351895475126e-22,1.96147384340505e-19,1.37259548419152e-19,"Cxcl2/Fpr2/Spp1/Anxa1/Mmp9/Aif1/C5ar1/Trem1/App/S100a9/Cxcr2/Trem3/Ccr1/Cmklr1/Mtus1/Ffar2/Itgam/Itgb2l/Adam8/S100a8/Lgals3/Bst1/Ccn3/Thbs1/Fcgr3/Slamf8/Tirap/Pla2g7",28
"GO:0050900","leukocyte migration","33/275","402/28905",0.082089552238806,8.62835820895523,15.095012103138,3.34165914101697e-21,1.5252287079356e-18,1.06732090458948e-18,"Cd177/Cxcl2/Fpr2/Spp1/Anxa1/Mmp9/Aif1/C5ar1/Trem1/App/S100a9/Cxcr2/Trem3/Ccr1/Cmklr1/Mtus1/Ffar2/Itgam/Itgb2l/Adam8/Tlr2/S100a8/Mmp14/Lgals3/Bst1/Ccn3/Prtn3/Thbs1/Fcgr3/Slamf8/St3gal4/Tirap/Pla2g7",33
"GO:0045089","positive regulation of innate immune response","33/275","404/28905",0.0816831683168317,8.58564356435644,15.0483094304724,3.89860510903631e-21,1.55700541542138e-18,1.08955753310436e-18,"Ltf/Acod1/Fpr2/Cd14/Clec4e/Plscr1/Clec4n/Cd300lf/Gbp2b/Tlr4/App/S100a9/Trem3/Gbp2/Zbp1/Slc15a3/Irf7/Ffar2/Ifih1/Oas3/Adam8/Tifab/Tlr2/S100a8/Casp4/Dhx58/Lamp2/Smpdl3b/Flot1/Irak3/Ifi207/Tirap/Mefv",33
"GO:0002218","activation of innate immune response","29/275","303/28905",0.0957095709570957,10.0599459945995,15.5375796932615,1.38344669346157e-20,4.91123576178859e-18,3.43677283849401e-18,"Ltf/Acod1/Cd14/Clec4e/Clec4n/Cd300lf/Gbp2b/Tlr4/App/S100a9/Gbp2/Zbp1/Slc15a3/Irf7/Ffar2/Ifih1/Oas3/Tifab/Tlr2/S100a8/Casp4/Dhx58/Lamp2/Smpdl3b/Flot1/Irak3/Ifi207/Tirap/Mefv",29
"GO:0002833","positive regulation of response to biotic stimulus","33/275","431/28905",0.0765661252900232,8.04779582366589,14.4478211176047,2.8763930670007e-20,9.19007584906725e-18,6.43100934137841e-18,"Ltf/Acod1/Fpr2/Cd14/Clec4e/Plscr1/Clec4n/Cd300lf/Gbp2b/Tlr4/App/S100a9/Trem3/Gbp2/Zbp1/Slc15a3/Irf7/Ffar2/Ifih1/Oas3/Adam8/Tifab/Tlr2/S100a8/Casp4/Dhx58/Lamp2/Smpdl3b/Flot1/Irak3/Ifi207/Tirap/Mefv",33
