"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"mmu04640","Hematopoietic cell lineage - Mus musculus (house mouse)",34,-0.596690643811296,-2.73463201522555,1.30987762559243e-07,2.65905157995263e-05,2.19232149967575e-05,156,"tags=59%, list=8%, signal=55%","16197/14961/12481/100504404/12500/12525/14960/14969/15001/13136/12507/12502/12478/12526/12483/12902/15000/12482/15002/14128"
"mmu04612","Antigen processing and presentation - Mus musculus (house mouse)",20,-0.688901194038927,-2.68030667861952,6.96985833360021e-07,6.31038110487341e-05,5.20275133873411e-05,129,"tags=55%, list=6%, signal=52%","14961/100504404/16149/12525/14960/12265/14969/15001/12526/15000/15002"
"mmu04613","Neutrophil extracellular trap formation - Mus musculus (house mouse)",41,0.592891626967664,2.43165433008475,9.32568636188189e-07,6.31038110487341e-05,5.20275133873411e-05,354,"tags=56%, list=17%, signal=47%","14289/12796/14293/246256/21898/12266/14129/26415/12273/16409/12363/14161/24088/99571/18602/14131/17969/16415/110135/20344/17972/12362/13058"
"mmu05146","Amoebiasis - Mus musculus (house mouse)",23,0.677106450575945,2.39953968244203,3.62269573795801e-06,0.000147081446961095,0.000121264973123226,277,"tags=52%, list=14%, signal=46%","16178/12475/20310/330122/21898/16409/24088/11847/11846/16415/14825/15978"
"mmu04621","NOD-like receptor signaling pathway - Mus musculus (house mouse)",44,0.55869868611986,2.34880953932461,3.12319135374792e-06,0.000147081446961095,0.000121264973123226,486,"tags=64%, list=24%, signal=50%","20310/12796/330122/14469/14468/21898/26415/246728/12363/59027/16476/55932/15944/229900/22166/14825/54396/17948/12362/13058/54483/17874/15951/13057/54123/20847/270151/18795"
"mmu05340","Primary immunodeficiency - Mus musculus (house mouse)",18,-0.667745029892612,-2.49250610381888,8.49241093288571e-06,0.000287326569895966,0.000236893568127865,156,"tags=78%, list=8%, signal=72%","16186/21939/57916/12501/16197/12500/12525/12265/16818/17060/72049/12478/12526/12518"
"mmu04657","IL-17 signaling pathway - Mus musculus (house mouse)",17,0.710896075139551,2.27399829244364,1.80665672216708e-05,0.000523930449428453,0.00043196754710461,337,"tags=71%, list=16%, signal=59%","16819/20310/330122/15945/17395/12608/26415/20202/16476/14825/15978/20201"
"mmu05310","Asthma - Mus musculus (house mouse)",11,-0.75345007583101,-2.34579524142239,2.12842729853978e-05,0.00054008842700447,0.000445289395352402,129,"tags=64%, list=6%, signal=60%","14961/100504404/14960/14969/15001/15000/15002"
"mmu05320","Autoimmune thyroid disease - Mus musculus (house mouse)",13,-0.718009629032124,-2.38290394967834,2.88749942046138e-05,0.00065129153594851,0.000536973576436677,129,"tags=54%, list=6%, signal=51%","14961/100504404/14960/14969/15001/15000/15002"
"mmu05416","Viral myocarditis - Mus musculus (house mouse)",16,-0.672697764304113,-2.41200132988223,3.90782176982581e-05,0.000721170744795128,0.000594587235791679,129,"tags=50%, list=6%, signal=47%","14961/100504404/14960/14969/15001/13136/15000/15002"
"mmu05332","Graft-versus-host disease - Mus musculus (house mouse)",14,-0.70128754237902,-2.39866789314155,3.85209205064028e-05,0.000721170744795128,0.000594587235791679,129,"tags=50%, list=6%, signal=47%","14961/100504404/14960/14969/15001/15000/15002"
"mmu04658","Th1 and Th2 cell differentiation - Mus musculus (house mouse)",30,-0.528571966714682,-2.32825230651241,5.65102078475017e-05,0.000955964349420237,0.000788168688399366,412,"tags=60%, list=20%, signal=49%","14462/19057/18803/19094/12501/16150/18018/14961/12503/100504404/12500/14960/16818/14969/15001/12502/15000/15002"
"mmu04659","Th17 cell differentiation - Mus musculus (house mouse)",36,-0.492018025725914,-2.27360586174114,6.1568764119617e-05,0.000961419932021712,0.000792666679758632,424,"tags=61%, list=21%, signal=49%","16186/21813/14462/19057/18803/19094/12501/16150/18018/50931/14961/16364/12503/100504404/12500/14960/16818/14969/15001/12502/15000/15002"
"mmu05169","Epstein-Barr virus infection - Mus musculus (house mouse)",47,-0.429723381801434,-2.18616402465343,0.000124337928480481,0.00180289996296697,0.00148644591190951,129,"tags=32%, list=6%, signal=31%","14961/12503/100504404/12500/107986/14960/14969/17060/15001/12502/12478/12902/15000/15002/14128"
"mmu04672","Intestinal immune network for IgA production - Mus musculus (house mouse)",18,-0.606367249869948,-2.2633999562674,0.000149069695181807,0.00189132175761918,0.00155934746933601,468,"tags=72%, list=23%, signal=56%","12769/21939/57916/50723/12767/14961/100504404/14960/14969/72049/15001/15000/15002"
"mmu05134","Legionellosis - Mus musculus (house mouse)",22,0.614305896037317,2.14332688776057,0.00014245997476268,0.00189132175761918,0.00155934746933601,557,"tags=73%, list=27%, signal=54%","12475/20310/330122/21898/12266/16409/24088/16415/14825/17948/12362/17874/15511/19324/13063/12369"
"mmu05133","Pertussis - Mus musculus (house mouse)",28,0.569000907035611,2.10977294838949,0.000162651051536422,0.00194224490952316,0.00160133233401184,646,"tags=75%, list=32%, signal=52%","12475/21898/12266/26415/16409/16476/16415/117149/12258/12362/17874/50909/12260/16362/15139/107607/12369/17087/75600/12262/12259"
"mmu04940","Type I diabetes mellitus - Mus musculus (house mouse)",15,-0.648087371596378,-2.2650746606661,0.000235130921691487,0.00265175428352066,0.0021863050613419,129,"tags=47%, list=6%, signal=44%","14961/100504404/14960/14969/15001/15000/15002"
"mmu05330","Allograft rejection - Mus musculus (house mouse)",15,-0.643097063384163,-2.24763346187749,0.000271737723011465,0.00290330304059617,0.00239370071794033,129,"tags=47%, list=6%, signal=44%","14961/100504404/14960/14969/15001/15000/15002"
"mmu04662","B cell receptor signaling pathway - Mus musculus (house mouse)",25,-0.504914091296799,-2.05500287000628,0.000651815003187214,0.00661592228235022,0.005454662395093,67,"tags=40%, list=3%, signal=39%","108723/12143/17060/12478/12517/12483/12902/242248/12518/15985"
"mmu05417","Lipid and atherosclerosis - Mus musculus (house mouse)",56,0.428872702296201,1.91793561913764,0.000703800103188128,0.00680340099748523,0.00560923390510839,622,"tags=59%, list=30%, signal=42%","12475/20310/330122/21898/17395/26415/24088/16476/17969/16803/14825/22433/117149/20344/15894/17972/12362/13058/17874/15511/13057/54123/18795/21937/18024/13063/12369/17087/17970/22027/75600/14103/16173"
"mmu05166","Human T-cell leukemia virus 1 infection - Mus musculus (house mouse)",50,-0.383167299138188,-1.95695754886758,0.000835758786868353,0.00771177426064889,0.00635816493359178,465,"tags=50%, list=23%, signal=40%","16186/21939/11920/21813/18749/245000/19057/21423/12501/16150/18018/26401/11513/14961/100504404/12500/14960/16818/14969/23871/72049/15001/12502/15000/15002"
"mmu04514","Cell adhesion molecules - Mus musculus (house mouse)",28,-0.475481605229295,-2.05647248190774,0.000881352251749522,0.00777889161326752,0.00641350151158691,217,"tags=46%, list=11%, signal=42%","12511/15896/14961/12481/100504404/12525/14960/14969/15001/12526/12483/15000/15002"
"mmu04668","TNF signaling pathway - Mus musculus (house mouse)",30,0.523581861701419,1.98871347605934,0.0011831879745244,0.0100077982845189,0.00825117929602542,382,"tags=47%, list=19%, signal=39%","20310/330122/15945/17395/12608/26415/12702/16476/17387/14825/74568/12051/15894/15953"
"mmu04610","Complement and coagulation cascades - Mus musculus (house mouse)",36,0.481808956595236,1.926334598248,0.00130687205827586,0.0106118011132,0.00874916451645731,697,"tags=61%, list=34%, signal=41%","12266/14962/12273/14058/16409/14161/18793/99571/16415/110135/12258/56373/50909/12260/15139/20720/22370/12262/12259/12269/12628/16644"
"mmu04660","T cell receptor signaling pathway - Mus musculus (house mouse)",32,-0.42160491424806,-1.91645645750642,0.00231253045310162,0.0180555262299857,0.0148863296373748,404,"tags=50%, list=20%, signal=41%","19057/18803/21682/19094/12501/16150/18018/16428/19419/108723/12503/12500/12525/16818/12502/12526"
"mmu05171","Coronavirus disease - COVID-19 - Mus musculus (house mouse)",55,0.40923406331876,1.82085979550348,0.00275365986575298,0.020703442694365,0.0170694705128547,512,"tags=44%, list=25%, signal=34%","21898/15945/12266/14962/26415/12273/246728/14161/24088/99571/71586/16476/14131/110135/20344/12362/13058/17874/50909/12260/11607/20847/15139/21937"
