"","GSM944836_inf_lin","GSM944850_inf_lin","GSM944857_inf_lin","GSM944864_inf_lin","GSM944854_uni_lin","GSM944847_uni_lin","GSM944840_uni_lin","GSM944861_uni_lin","GSM944835_inf_unt","GSM944849_inf_unt","GSM944863_inf_unt","GSM944856_inf_unt","GSM944845_uni_unt","GSM944852_uni_unt","GSM944859_uni_unt","GSM944838_uni_unt","GSM944865_inf_van","GSM944837_inf_van","GSM944851_inf_van","GSM944858_inf_van","GSM944841_uni_van","GSM944855_uni_van","GSM944862_uni_van","GSM944848_uni_van"
"Wfdc17",11.7721140851071,12.1316649191699,12.0724943775904,12.0466890661702,7.15739041832379,8.12283176437919,7.89792013763163,7.37266825334856,11.0650296306006,11.6080966152223,13.3799102627065,12.3529111550917,8.1272005668964,8.20839808169426,7.69691499718129,6.79878916696215,11.6996931602892,12.1943783226748,12.0558399013106,11.4177113209651,9.05596220865373,8.96462916491102,8.17469809044919,8.8999884333499
"Niban3",5.26739318977658,5.58406791589398,5.28624816516088,5.57442455638498,7.90979380214553,7.66571003425525,7.52512673157498,7.48162012206038,5.07487827888211,5.02533717968607,5.38122165920715,4.660101364386,7.91029606996086,7.29463601227386,7.89547844812306,7.31679718431473,5.11565102249004,5.66254203539688,6.14714841258555,6.22334248027426,8.39042893739835,8.13788328129272,7.45402487562158,7.4813708600141
"D130062J21Rik",5.96051308385315,6.22938977047553,5.91407761517648,5.52822769609514,7.14438085597482,7.16578887818738,6.86761588473321,7.21245520154585,6.49262907819172,5.63767814378507,5.89742815039459,5.25586417990211,7.42037300433361,7.23371689645047,7.56783762379325,6.69443036867945,5.68992668282357,5.84242120291789,6.01129070423944,6.41883696630584,7.64743644269787,7.26227257638864,7.29558282243326,6.86899968231548
"Trav9d-3",9.97440916000865,9.61699878582272,9.29138851048907,9.43206487964728,11.7839309572039,11.7020047167644,11.4843756507325,11.5724194757767,10.7876037539871,9.26611929677395,9.71468990683582,9.07396203287427,11.4256899737574,11.5936133723279,11.6059559636702,11.5515556128664,9.49203014357196,9.61820468537099,9.30102145650528,10.6574307595437,11.8620421986877,11.7593872079359,11.3284396877178,11.4558624603984
"Snhg12",5.87248257264255,6.50233649668895,5.90204103970142,5.94263051311816,7.37391864230816,7.49047345367355,7.17588424491958,7.23234002445339,6.92685738807816,5.87104996103306,5.98357040527157,6.40526755983164,7.1971036833005,7.39756082786653,7.47217689813633,6.99940800624714,6.18902342786835,6.22553714604509,6.04645427586323,6.65464646309863,7.7306198778499,7.41817822661286,7.3481555821459,7.54342106398048
"Nhsl2",8.1844550870783,8.44162862833456,8.5984302698141,8.29032861970676,7.33407406225353,7.71970419640729,7.37191292763095,7.55172354635096,8.35608831244018,8.51429022688932,9.48664418789757,8.18292036651583,7.56148702349971,7.74340645893327,7.55416668685826,7.41559466501214,8.47662410901101,8.31764904504733,8.59599076312334,8.24453945903173,7.70812537147974,8.0762389473555,7.62784314620459,7.60808877477507
"Mir22hg",7.69320160790998,7.73143218023672,7.8315307547313,7.97889769394585,7.29424451178635,7.08812417374306,7.18735928257827,7.20999873712734,9.5982581156997,7.9002283981863,8.31493413558462,9.12068712937858,7.30065420631591,7.56030589901782,7.2428406758249,7.09766952532172,8.01351147245361,7.5974372783329,8.17950764630702,8.20850908262009,7.18474766647597,7.35050543975451,7.02491383425021,7.51855497108141
"Ankrd66",5.52087789925673,6.04340318696564,5.81427835925988,6.05291662615206,4.97118604499651,5.13186965894214,5.15031589452793,5.0116574115575,5.8334314672643,6.12496610499313,6.28181977723503,6.358315763722,5.03717186474926,5.03261558371819,5.32631467578468,5.08320637557879,5.70417973973536,5.60405462275815,6.18650811822927,5.70926727483853,5.09915619980175,4.88553811057217,4.93412905066707,5.18903601965498
"Trac",8.66463666589672,8.40283143477301,7.7734644791222,8.08036694023983,10.5983101710092,10.6020187427937,10.2962464212682,10.6065821638722,9.66733463386522,7.91548239282995,8.46742365159392,7.74448707649928,10.2572274726588,10.490068433816,10.6083627174373,10.3706674436701,8.20262058392668,8.56821017551137,7.98304223896944,9.46992782882418,10.7496131729852,10.6398544873013,10.141199851054,10.2645900623239
"Tdrd7",9.07495879283353,9.28618465305182,9.72672262930207,8.62934025671746,7.88044303613442,7.67613938485156,7.93256551387693,7.78976035042845,7.47479024379316,9.10576727653711,8.76355538908949,7.66207690458038,7.81577934638622,7.72552771102399,7.65787011674929,7.58795946730127,9.04097761507947,9.07506546231322,8.56546876430012,7.9992303951751,7.25020382471792,7.78900777426984,7.74891705588527,8.03617761547911
"Trbv14",6.00146398934533,5.50279286266191,5.17137515485837,5.66084830789319,6.94650155334741,6.71639993416604,6.92833048018993,6.84965092043013,5.65064167813959,5.663152040987,5.37625839339237,5.59416762424524,6.86077434494313,6.86746357555661,6.90228968888212,6.71480091215637,5.50279286266191,5.79588115469772,5.24735674539646,5.70159762082385,6.77428252764128,6.79428067430928,6.83306114102296,6.50391830325994
"Trbv29",5.94585284210674,5.50343967601358,5.14407811431639,4.93046060282503,6.61847330446516,6.53536181767614,6.30357906561629,6.49635076152004,5.85316331129884,5.61181598512031,5.36240663557612,4.88002506770353,6.63547750843425,6.70470926660528,6.62246046622958,6.39422972545808,5.65424242839767,5.34306310811871,5.30585934391855,5.56666801633271,6.7795816237569,6.61146580087786,6.20360098264049,6.27728896046099
"Tmem64",6.96243851173127,6.75434053297001,7.04349794493075,7.16206168011408,8.37649663948252,8.41738787924886,7.83871801266168,8.49303136876643,9.11568373806291,6.66368492734088,6.80441101120494,7.11594152137894,8.32023973274494,8.27172910891233,8.50310005432008,8.02998136674442,6.64627728763035,6.75434053297001,6.61254356579663,7.84355816034541,8.37333771717654,8.51147024295714,8.29768388794647,8.26578839921485
"Smpdl3b",9.3247363146131,9.65105423483344,9.09667938001897,9.27271728573533,7.13213723472744,7.10940299615629,7.08259310171076,7.41276487099476,9.51164756794365,9.91866147153511,10.2093864437415,8.32044117196213,7.17810324697602,7.21075561187792,6.95001349555491,7.02300925494032,8.79821583220738,9.51324032194584,9.15167331684552,6.70094925554107,6.95236002685207,7.12159759312313,7.5564782742466,7.86872162971464
"Bbip1",7.82552137004939,7.24008699505693,7.46955433503102,7.63475073013288,9.21291648083899,8.88352585046316,8.54964535820991,9.05083913224454,9.28045594946761,7.34567917904176,7.63475396649426,8.29014094445355,8.6974598465373,8.92666878864582,8.86446317978676,8.9917297565785,7.77671197041604,7.61650615546717,7.64831602258021,8.57735235704565,9.23750252088693,9.26929264066297,8.8553004477261,8.90193154320629
"Gm15708",4.57655527980063,4.22275326358935,4.3790726707498,4.67778284958641,5.6293179868258,5.59258180325474,5.68651550608341,5.712726590943,4.98991498341271,4.25035881273876,4.33271664293936,4.26668781847411,5.39647591455778,5.84567602294504,5.43980756524839,5.21541245003096,4.43042669355314,4.3601066667223,4.45390801217614,5.30199710964851,5.65562218567272,5.60803459626828,5.35475301425797,5.38410175412135
