"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1421262_at",6.22648193797552,7.11626059072796,16.4722543534323,1.76789089468803e-13,3.62064055232108e-10,20.9107588162949
"1422953_at",2.73436003581992,11.2859863088271,14.2610033944632,2.86981040890593e-12,2.93868585871967e-09,18.2411467095054
"1427747_a_at",4.75036916337106,10.714263784453,13.9487174215092,4.37742818808365e-12,2.98832430973177e-09,17.832179751986
"1448562_at",4.28787449464595,7.7089444456023,13.0195711525415,1.6112696472768e-11,7.37959738962269e-09,16.5634101603131
"1419681_a_at",4.80997528452652,7.12354592412446,12.9422971458338,1.80165951895085e-11,7.37959738962269e-09,16.4542404761788
"1422438_at",-1.78058549012024,7.55776041249449,-12.6691085193107,2.68533082306221e-11,9.16592920938567e-09,16.0636147983986
"1440865_at",3.49998993762619,11.1518476459433,12.4339098702054,3.80690125464519e-11,1.11379053850191e-08,15.7213636375002
"1455132_at",-1.65894022457051,8.44516805265248,-11.6455682727502,1.27408539575044e-10,3.17674529478232e-08,14.5324313205383
"1427102_at",3.61443643776213,10.6615728889592,11.5874913164837,1.39603064712114e-10,3.17674529478232e-08,14.4422128644061
"1436530_at",4.3680379685886,10.011413504195,11.5054032009698,1.58948375126267e-10,3.25526272258594e-08,14.3140617549144
"1417290_at",3.68352024706373,10.1274074853421,11.2299972263169,2.46911123893749e-10,4.59703619758543e-08,13.8786300808508
"1436419_a_at",-2.27861084928423,8.55170173939485,-10.8060484690394,4.94049082410785e-10,7.25919666596192e-08,13.1914455032077
"1441317_x_at",-1.34841525717958,8.12974291729747,-10.8037122314632,4.9596764062459e-10,7.25919666596192e-08,13.187600740598
"1416536_at",-1.33271128464158,5.85767455648915,-10.8005901702931,4.98543629986011e-10,7.25919666596192e-08,13.1824617393257
"1449366_at",3.44805783911145,10.1466072711697,10.7043529146443,5.85168856134224e-10,7.25919666596192e-08,13.0234879388802
"1448213_at",2.46130057786788,12.0533442254812,10.6998971077864,5.89540139642455e-10,7.25919666596192e-08,13.0161008492016
"1424254_at",3.60567313824881,11.2534243652834,10.6812044335318,6.08251407788023e-10,7.25919666596192e-08,12.9850853654903
"1418722_at",4.37254361608116,10.9638982730434,10.6526680353957,6.38015331969309e-10,7.25919666596192e-08,12.9376566767438
"1428466_at",-1.28081061628157,8.14667054649914,-10.3588485518269,1.04894648007041e-09,1.11248563988841e-07,12.4436283698747
"1429088_at",-1.39070900356661,7.87834162082478,-10.3063981129522,1.14747498147793e-09,1.11248563988841e-07,12.3543363301819
"1433939_at",-1.44828538710733,8.32668161108557,-10.2933674436675,1.17341308648941e-09,1.11248563988841e-07,12.3321005538164
"1455940_x_at",-1.78300745888633,7.34559419279209,-10.2827230453612,1.19505293347387e-09,1.11248563988841e-07,12.3139212882306
"1447806_s_at",-2.29625082562287,7.89058255538342,-10.1871829397659,1.40887491597309e-09,1.25451122952734e-07,12.1501264922851
"1452389_at",-1.98924989148256,7.64255188601665,-10.1091033962436,1.6129950436229e-09,1.37642243722488e-07,12.0154276703454
"1429387_at",-1.55765153965212,6.39075074572196,-10.0152822139192,1.89953678218016e-09,1.55610053196199e-07,11.8525676851128
"1450826_a_at",6.46419489141501,9.4818947975011,9.88435851660992,2.39053758483434e-09,1.77586109129881e-07,11.6234565058973
"1435996_at",-1.467255786148,6.15746120348603,-9.87079255174696,2.44845335028936e-09,1.77586109129881e-07,11.5995928784823
